contraste,energia,homogeneidade,correlacao,ASM,variancia,diferenca_entropia,diferenca_variancias,amarelo,vermelho,branco,azul,roxo,verde,classe
158.45,0.14,0.51,0.96,0.02,0.0,3.46,-2117.37,1.9,20.27,0.2,8.89,0.0,0.48,0
187.84,0.3,0.67,0.98,0.09,0.0,2.62,-5996.55,39.58,6.99,0.0,14.48,0.0,2.13,0
119.27,0.23,0.55,0.99,0.05,0.0,3.07,-4408.72,23.02,12.48,0.0,12.4,0.0,4.02,0
368.19,0.37,0.5,0.95,0.14,0.0,7.09,-4012.44,10.52,27.65,1.37,3.19,10.56,7.88,0
219.88,0.49,0.61,0.97,0.24,0.0,4.59,-4262.62,15.5,14.31,0.6,3.9,36.14,1.99,0
151.49,0.48,0.61,0.98,0.23,0.0,3.78,-3053.66,4.18,30.71,0.83,3.85,21.36,2.4,0
137.56,0.31,0.54,0.97,0.09,0.0,3.76,-2606.33,5.86,44.59,0.99,0.45,17.69,0.72,0
150.08,0.38,0.64,0.99,0.15,0.0,2.82,-5942.23,12.24,9.36,0.0,33.44,0.0,1.18,0
140.17,0.31,0.63,0.98,0.1,0.0,2.52,-4298.72,10.72,10.99,0.0,26.15,0.0,1.38,0
92.48,0.34,0.61,0.99,0.12,0.0,2.38,-4490.36,2.81,14.66,0.0,23.74,0.0,1.39,0
176.2,0.15,0.55,0.97,0.02,0.0,3.32,-3512.87,17.1,16.56,0.0,11.15,0.0,2.12,0
565.84,0.74,0.82,0.94,0.54,0.0,5.24,-4480.86,10.06,1.68,0.21,37.65,0.0,20.1,0
239.05,0.26,0.58,0.98,0.07,0.0,3.85,-5489.94,29.96,9.64,0.0,5.96,0.0,6.7,0
145.54,0.33,0.64,0.99,0.11,0.0,2.77,-5311.9,15.82,10.48,0.0,5.22,0.0,13.89,0
144.72,0.26,0.52,0.97,0.07,0.0,3.77,-2338.27,11.3,42.66,0.62,15.65,7.97,1.46,0
248.72,0.39,0.55,0.97,0.15,0.0,4.85,-4010.89,12.01,27.11,0.3,1.94,3.22,17.55,0
102.35,0.4,0.58,0.98,0.16,0.0,3.11,-3384.42,14.19,21.59,0.73,3.52,31.45,1.3,0
150.35,0.36,0.56,0.98,0.13,0.0,3.76,-3833.4,6.4,37.23,2.41,2.62,19.88,8.23,0
135.49,0.39,0.55,0.98,0.15,0.0,3.87,-4288.91,24.26,14.02,0.57,4.51,24.6,1.02,0
216.88,0.35,0.54,0.98,0.12,0.0,4.41,-4805.76,17.54,20.88,0.59,2.41,10.55,4.62,0
71.59,0.43,0.65,0.98,0.19,0.0,2.21,-2128.01,3.87,43.35,0.17,0.57,15.13,0.47,0
68.0,0.37,0.58,0.99,0.13,0.0,2.71,-2589.22,2.03,49.37,0.86,0.31,24.07,0.26,0
89.27,0.15,0.45,0.98,0.02,0.0,3.58,-2262.24,3.45,64.72,0.93,0.54,9.07,0.35,0
84.89,0.49,0.66,0.98,0.24,0.0,2.43,-1850.17,2.53,35.01,0.14,3.86,34.72,0.55,0
77.05,0.52,0.71,0.98,0.27,0.0,2.01,-2539.66,4.97,31.72,0.73,3.28,14.84,0.43,0
94.24,0.4,0.62,0.98,0.16,0.0,2.66,-2601.13,2.35,45.1,0.78,1.71,13.26,1.13,0
85.62,0.41,0.62,0.99,0.17,0.0,2.65,-3275.88,12.96,29.93,0.06,4.22,28.13,0.43,0
363.34,0.26,0.52,0.97,0.07,0.0,5.18,-5234.6,12.2,16.6,0.0,11.94,0.0,2.98,0
284.58,0.21,0.47,0.97,0.05,0.0,4.92,-4156.76,14.26,18.01,0.0,18.2,0.0,1.19,0
298.47,0.14,0.41,0.95,0.02,0.0,5.59,-3063.96,6.82,23.88,0.0,7.67,0.0,1.24,0
82.3,0.15,0.49,0.99,0.02,0.0,2.77,-3062.72,0.45,16.66,0.0,11.46,0.0,0.26,0
144.33,0.3,0.54,0.98,0.09,0.0,3.36,-4074.41,0.68,10.29,0.0,6.49,0.0,0.34,0
163.2,0.36,0.63,0.98,0.13,0.0,3.04,-4695.3,1.95,10.83,0.0,11.65,0.0,1.47,0
87.87,0.23,0.49,0.99,0.05,0.0,3.01,-4081.58,1.08,48.26,1.19,1.19,14.69,0.8,0
134.59,0.15,0.56,0.98,0.02,0.0,2.79,-3052.17,5.75,13.75,0.0,12.62,0.0,0.79,0
69.27,0.23,0.63,0.99,0.05,0.0,1.83,-4570.66,0.42,22.3,0.0,12.84,0.0,0.45,0
108.01,0.2,0.55,0.97,0.04,0.0,2.89,-1933.77,4.43,61.05,0.46,0.54,13.64,0.6,0
73.66,0.26,0.57,0.99,0.07,0.0,2.66,-3056.16,0.37,57.64,1.18,0.57,14.11,0.33,0
79.87,0.19,0.61,0.99,0.04,0.0,2.16,-2713.78,0.87,62.28,0.78,0.81,10.35,0.77,0
86.15,0.36,0.6,0.98,0.13,0.0,2.68,-2771.34,4.05,44.04,0.83,17.15,13.62,0.88,0
43.83,0.21,0.5,1.0,0.05,0.0,2.52,-4513.37,0.15,43.73,2.99,0.46,15.41,0.32,0
77.77,0.31,0.56,0.99,0.1,0.0,2.68,-4960.92,2.09,40.54,3.31,0.47,24.91,0.43,0
99.34,0.23,0.53,0.98,0.05,0.0,2.9,-3074.58,6.94,52.13,0.72,0.51,13.88,0.61,0
92.32,0.26,0.65,0.99,0.07,0.0,1.86,-4190.46,12.62,14.55,0.0,17.15,0.0,0.4,0
250.04,0.37,0.54,0.97,0.14,0.0,4.89,-4303.96,13.98,26.32,0.5,1.06,18.64,8.9,0
285.92,0.31,0.5,0.96,0.09,0.0,5.61,-3956.41,10.15,35.01,1.32,1.45,9.37,10.67,0
72.04,0.31,0.56,0.99,0.1,0.0,2.65,-2516.62,1.66,51.45,0.51,0.5,15.57,1.14,0
