contraste,energia,homogeneidade,correlacao,ASM,variancia,diferenca_entropia,diferenca_variancias,amarelo,vermelho,branco,azul,roxo,verde,classe
58.49,0.25,0.5,0.99,0.06,0.0,2.87,-5058.92,2.58,38.82,4.04,0.82,16.61,1.12,1
290.71,0.32,0.52,0.97,0.1,0.0,5.28,-4505.04,17.65,26.37,0.88,0.69,14.48,8.78,1
93.7,0.39,0.61,0.98,0.15,0.0,2.9,-2467.91,0.74,48.79,0.74,0.98,29.92,0.45,1
191.66,0.18,0.53,0.98,0.03,0.0,3.72,-4153.0,20.55,16.38,0.0,14.35,0.0,1.45,1
87.0,0.42,0.69,0.99,0.17,0.0,1.98,-6279.74,24.35,7.5,0.0,40.01,0.0,1.0,1
154.31,0.24,0.55,0.98,0.06,0.0,3.51,-3972.35,12.04,14.76,0.0,17.13,0.0,1.23,1
102.42,0.15,0.41,0.98,0.02,0.0,3.88,-2443.87,19.8,41.91,0.0,1.92,7.36,1.83,1
104.14,0.17,0.53,0.98,0.03,0.0,2.75,-2526.82,1.27,12.99,0.0,8.71,0.0,0.63,1
69.57,0.15,0.52,0.99,0.02,0.0,2.48,-2648.87,0.35,11.99,0.0,9.1,0.0,0.7,1
352.79,0.24,0.53,0.96,0.06,0.0,5.25,-4750.52,20.64,13.16,0.0,10.34,0.0,3.18,1
603.33,0.36,0.64,0.96,0.13,0.0,6.44,-6749.53,31.96,3.33,0.0,5.3,0.0,15.36,1
143.01,0.2,0.55,0.98,0.04,0.0,3.07,-3363.26,2.84,16.29,0.0,18.26,0.0,0.66,1
154.54,0.38,0.55,0.99,0.15,0.0,3.9,-5178.27,5.56,15.35,0.0,35.17,0.0,0.81,1
444.19,0.3,0.54,0.96,0.09,0.0,6.09,-4987.13,18.2,12.05,0.0,14.55,0.0,3.93,1
136.39,0.21,0.49,0.98,0.04,0.0,3.64,-3448.48,10.43,45.26,1.49,0.78,6.33,2.36,1
89.02,0.82,0.88,0.99,0.67,0.0,1.58,-3901.9,0.55,2.66,0.24,35.23,25.32,4.69,1
333.93,0.36,0.6,0.96,0.13,0.0,4.74,-4381.04,5.59,8.97,0.0,5.08,0.0,5.19,1
373.67,0.39,0.61,0.96,0.15,0.0,5.06,-4642.4,6.79,8.53,0.0,6.08,0.0,7.66,1
